upload,caption,likes_list,hashtag,location,photo
2020-07-16T03:00:42.000Z,"Hallo Keluarga Moju,Kalo kamu lagi di Moju-Moju, lebih suka menu cokelat, kopi, macchiato, atau jizi series nih? Apa aja menu favoritmu, sampaikan kepada kami, dan #baristamojumoju siap meracik dengan sepenuh hati 🤗.⌚10:00 - 24:00 WIB•Nikmati diskon 20% untuk semua varian menu tanpa limit order.•Let Your Story Completes Us#mojumojuid••••#masfotokopi #mbakfotokopi#proudofyourlocalcoffeeshop#proudofindonesiacoffee #coffee #coffeegeek #kopi #coffeelover#instacoffee #goodcoffee #caffeinedaily #VSCOcoffee #TheTrendyBarista#coffeesesh #coffeeporn #coffee_inst#coffeeshopcorners#explorecoffee #coffeshopsoftheworld #coffeeshots #coffeexample #peoplebrewcoffee#manmakecoffee #coffeeshopdesign",280 views,#baristamojumoju #mojumojuid #masfotokopi #mbakfotokopi #proudofyourlocalcoffeeshop #proudofindonesiacoffee #coffee #coffeegeek #kopi #coffeelover #instacoffee #goodcoffee #caffeinedaily #VSCOcoffee #TheTrendyBarista #coffeesesh #coffeeporn #coffee_inst #coffeeshopcorners #explorecoffee #coffeshopsoftheworld #coffeeshots #coffeexample #peoplebrewcoffee #manmakecoffee #coffeeshopdesign,,https://instagram.fcgk4-2.fna.fbcdn.net/v/t50.2886-16/110275572_587068751953782_1315122185413431100_n.mp4?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=XaVFjLV4VsIAX_7M1f9&oe=5F151135&oh=07858465774af44ac8369c8c3eb5eb4d
2020-07-14T06:43:21.000Z,"Hallo Keluarga Moju,Jangan lupa sempatkan 'me time' disela kesibukanmu, karena bahagia untuk diri sendiri itu perlu🤗Stay healthy and always be happy! 😊•⌚10:00 - 24:00 WIB•Nikmati diskon 20% untuk semua varian menu tanpa limit order.•Let Your Story Completes Us#mojumojuid••••#masfotokopi #mbakfotokopi#proudofyourlocalcoffeeshop#proudofindonesiacoffee #coffee #coffeegeek #kopi #coffeelover#instacoffee #goodcoffee #caffeinedaily #VSCOcoffee #TheTrendyBarista#coffeesesh #coffeeporn #coffee_inst#coffeeshopcorners#explorecoffee #coffeshopsoftheworld #coffeeshots #coffeexample #peoplebrewcoffee#manmakecoffee #coffeeshopdesign",42 likes,#mojumojuid #masfotokopi #mbakfotokopi #proudofyourlocalcoffeeshop #proudofindonesiacoffee #coffee #coffeegeek #kopi #coffeelover #instacoffee #goodcoffee #caffeinedaily #VSCOcoffee #TheTrendyBarista #coffeesesh #coffeeporn #coffee_inst #coffeeshopcorners #explorecoffee #coffeshopsoftheworld #coffeeshots #coffeexample #peoplebrewcoffee #manmakecoffee #coffeeshopdesign,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/107963385_208886103746603_3593921928186525454_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=111&_nc_ohc=r5wn0v7YuNsAX-bcxiM&oh=136e5e941051b317f652dc842b514702&oe=5F3B4661
2020-07-11T05:23:02.000Z,"Halo #keluargamoju siap untuk menikmati kesegaranmu hari ini??complete your story dengan artisan drink dari mojumoju 📸☺️•Buka setiap hari.⌚10:00 - 24:00 WIB•Nikamti diskon 20% untuk semua varian menu tanpa limit order.•Let Your Story Completes Us #mojumojuid•Pic : Mango Macchiato, dan Jizi Kiwi.",47 likes,#keluargamoju #mojumojuid,https://www.instagram.com/explore/locations/106812507575867/moju-moju-artisan-drink/,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/106904727_795222991062122_4198996691557478837_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=102&_nc_ohc=yc2LYeLP7NcAX-fGxTz&oh=e8b8bd70275fc8edf9c0998ec4035979&oe=5F3CAEEB
2020-07-09T07:56:42.000Z,Hello #keluargamoju - let’s meet our team.Sampaikan menu favoritmu dan kami akan langsung meraciknya dengan penuh senyuman :)•⌚10:00 - 24:00 WIB•Nikmati diskon 20% untuk semua varian menu tanpa limit order.•Let Your Story Completes Us#mojumojuid••••#masfotokopi #mbakfotokopi#proudofyourlocalcoffeeshop#proudofindonesiacoffee #coffee #coffeegeek #kopi #coffeelover#instacoffee #goodcoffee #caffeinedaily #VSCOcoffee #TheTrendyBarista#coffeesesh #coffeeporn #coffee_inst#coffeeshopcorners#explorecoffee #coffeshopsoftheworld #coffeeshots #coffeexample #peoplebrewcoffee#manmakecoffee #coffeeshopdesign,487 views,#keluargamoju #mojumojuid #masfotokopi #mbakfotokopi #proudofyourlocalcoffeeshop #proudofindonesiacoffee #coffee #coffeegeek #kopi #coffeelover #instacoffee #goodcoffee #caffeinedaily #VSCOcoffee #TheTrendyBarista #coffeesesh #coffeeporn #coffee_inst #coffeeshopcorners #explorecoffee #coffeshopsoftheworld #coffeeshots #coffeexample #peoplebrewcoffee #manmakecoffee #coffeeshopdesign,https://www.instagram.com/explore/locations/106812507575867/moju-moju-artisan-drink/,https://instagram.fcgk4-2.fna.fbcdn.net/v/t50.2886-16/107318568_3198838993509426_7380586638848006355_n.mp4?_nc_ht=instagram.fcgk4-2.fna.fbcdn.net&_nc_cat=106&_nc_ohc=sps6YgeLwesAX-eEF0H&oe=5F14AE53&oh=ba8da2368a1a9da71328e99f751da844
2020-07-06T05:02:43.000Z,"Halo keluarga moju,setelah kondisi New Normal seperti ini semoga #keluargamoju semua dalam keadaan sehat dan tetap safety ya! Kita juga selalu safety dalam menjaga kerbersihan dan selalu menggunakan masker untuk semua #baristamojuStay safe stay healthy ya..😊Kami siap melayani⌚10:00 - 24:00 WIB•Nikmati diskon 20% untuk semua varian menu tanpa limit order.•Let Your Story Completes Us#mojumojuid••••#masfotokopi #mbakfotokopi #proudofyourlocalcoffeeshop#proudofindonesiacoffee #coffee #coffeegeek #kopi #coffeelover #instacoffee #goodcoffee #caffeinedaily #VSCOcoffee #TheTrendyBarista#coffeesesh #coffeeporn #coffee_inst#coffeeshopcorners#explorecoffee #coffeshopsoftheworld #coffeeshots #coffeexample #peoplebrewcoffee#manmakecoffee #coffeeshopdesign",50 likes,#keluargamoju #baristamoju #mojumojuid #masfotokopi #mbakfotokopi #proudofyourlocalcoffeeshop #proudofindonesiacoffee #coffee #coffeegeek #kopi #coffeelover #instacoffee #goodcoffee #caffeinedaily #VSCOcoffee #TheTrendyBarista #coffeesesh #coffeeporn #coffee_inst #coffeeshopcorners #explorecoffee #coffeshopsoftheworld #coffeeshots #coffeexample #peoplebrewcoffee #manmakecoffee #coffeeshopdesign,,https://instagram.fcgk5-1.fna.fbcdn.net/v/t51.2885-15/e35/106370071_314952269671831_6604821787991760759_n.jpg?_nc_ht=instagram.fcgk5-1.fna.fbcdn.net&_nc_cat=107&_nc_ohc=PeThwmdimBgAX_cc0sa&oh=7d6e65d4853d69ac73a3e460a7b3756d&oe=5F3D66DE
2020-06-23T05:25:39.000Z,Is the perfect day to enjoy your Artisans Drink and lunch at @mojumojuid •••#coffee #coffeetime #artisandrinks #masfotokopi #manmakecoffee #proudyourlocalcoffeeshop #vscocoffee #coffeeshopoftheworld #coffeeshop #coffeeshopcorners #instacoffee #explorecoffee #kopi,50 likes,#coffee #coffeetime #artisandrinks #masfotokopi #manmakecoffee #proudyourlocalcoffeeshop #vscocoffee #coffeeshopoftheworld #coffeeshop #coffeeshopcorners #instacoffee #explorecoffee #kopi,https://www.instagram.com/explore/locations/106812507575867/moju-moju-artisan-drink/,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/105415465_754589931945490_7398119952828904929_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=HV1I-H3E-94AX_FHUlj&oh=1c012e66e5a7d6ccd9f58c33c13f46dc&oe=5F3D3EC3
2020-06-19T11:39:10.000Z,"Happy Weekend!! #tgif Halo keluarga moju, santai sejenak setelah seminggu beraktifitas, sambil mengevaluasi atau sekedar santai bersama keluarga. •Yuk!! Buka setiap hari.⌚️10:00 - 24:00 WIB•Nikmati diskon 20% untuk semua varian menu tanpa limit order.•Let Your Story Completes Us#keluargamoju #mojumojuid••••#masfotokopi #mbakfotokopi #proudofyourlocalcoffeeshop#proudofindonesiacoffee #coffee #coffeegeek #kopi #coffeelover #instacoffee #goodcoffee #caffeinedaily #VSCOcoffee  #TheTrendyBarista#coffeesesh #coffeeporn #coffee_inst#coffeeshopcorners#explorecoffee #coffeshopsoftheworld #coffeeshots #coffeexample #peoplebrewcoffee#manmakecoffee #coffeeshopdesign",749 views,#tgif #keluargamoju #mojumojuid #masfotokopi #mbakfotokopi #proudofyourlocalcoffeeshop #proudofindonesiacoffee #coffee #coffeegeek #kopi #coffeelover #instacoffee #goodcoffee #caffeinedaily #VSCOcoffee #TheTrendyBarista #coffeesesh #coffeeporn #coffee_inst #coffeeshopcorners #explorecoffee #coffeshopsoftheworld #coffeeshots #coffeexample #peoplebrewcoffee #manmakecoffee #coffeeshopdesign,https://www.instagram.com/explore/locations/106812507575867/moju-moju-artisan-drink/,https://instagram.fcgk4-1.fna.fbcdn.net/v/t50.2886-16/104746160_2738041796424094_7269632040708332802_n.mp4?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=1b38USiahzsAX8kVZ5x&oe=5F14B4AF&oh=963338296612feca68a8b0837e8e2525
2020-06-17T09:53:05.000Z,"Bersyukur rasanya udah hampir 3 bulan @mojumojuid berjalan, meski harus melewati masa Pandemi hingga situasi New Normal seperti sekarang. Banyak cerita yang sudah banyak tercipta di Gerai sederhana ini. 😊 •Bagi #keluargamoju semua, boleh loo memberi saran dan masukan bagi kita, agar kedepan kita bisa menjadi keluarga yang lebih baik dan saling mengerti 💙💙 .•Let Your Story Completes Us#mojumojuid•••••#masfotokopi #mbakfotokopi #proudofyourlocalcoffeeshop#proudofindonesiacoffee #coffee #coffeegeek #kopi #coffeelover #instacoffee #goodcoffee #caffeinedaily #VSCOcoffee  #TheTrendyBarista#coffeesesh #coffeeporn #coffee_inst#coffeeshopcorners#explorecoffee #coffeshopsoftheworld #coffeeshots #coffeexample #peoplebrewcoffee#manmakecoffee #coffeeshopdesign",52 likes,#keluargamoju #mojumojuid #masfotokopi #mbakfotokopi #proudofyourlocalcoffeeshop #proudofindonesiacoffee #coffee #coffeegeek #kopi #coffeelover #instacoffee #goodcoffee #caffeinedaily #VSCOcoffee #TheTrendyBarista #coffeesesh #coffeeporn #coffee_inst #coffeeshopcorners #explorecoffee #coffeshopsoftheworld #coffeeshots #coffeexample #peoplebrewcoffee #manmakecoffee #coffeeshopdesign,,https://instagram.fcgk4-4.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/82712417_186970199386131_5538446181825381661_n.jpg?_nc_ht=instagram.fcgk4-4.fna.fbcdn.net&_nc_cat=103&_nc_ohc=-VXH3lCNZyQAX_uclSc&oh=06ebccb96cabe4b075f587236128fd84&oe=5F3D7806
2020-06-15T08:05:27.000Z,Kondisi New Normal seperti ini semoga #keluargamoju semua dalam keadaan sehat ya! Kita juga selalu memantau dan memastikan seluruh #baristamoju dalam keadaan sehat dan penuh bahagia untuk menyambut Keluarga Moju semua. 😊😊 •Kami siap melayani⌚️10:00 - 24:00 WIB•Nikmati diskon 20% untuk semua varian menu tanpa limit order.•Let Your Story Completes Us#mojumojuid••••#masfotokopi #mbakfotokopi #proudofyourlocalcoffeeshop#proudofindonesiacoffee #coffee #coffeegeek #kopi #coffeelover #instacoffee #goodcoffee #caffeinedaily #VSCOcoffee  #TheTrendyBarista#coffeesesh #coffeeporn #coffee_inst#coffeeshopcorners#explorecoffee #coffeshopsoftheworld #coffeeshots #coffeexample #peoplebrewcoffee#manmakecoffee #coffeeshopdesign,67 likes,#keluargamoju #baristamoju #mojumojuid #masfotokopi #mbakfotokopi #proudofyourlocalcoffeeshop #proudofindonesiacoffee #coffee #coffeegeek #kopi #coffeelover #instacoffee #goodcoffee #caffeinedaily #VSCOcoffee #TheTrendyBarista #coffeesesh #coffeeporn #coffee_inst #coffeeshopcorners #explorecoffee #coffeshopsoftheworld #coffeeshots #coffeexample #peoplebrewcoffee #manmakecoffee #coffeeshopdesign,,https://instagram.fcgk4-1.fna.fbcdn.net/v/t51.2885-15/e35/s1080x1080/103531689_1890160561119586_5924266270523526404_n.jpg?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=110&_nc_ohc=Qm0mg3JzSo0AX9GdT0i&oh=6c9e8db9e56317e7c3068812ad839079&oe=5F3AFB7F
2020-06-14T08:21:36.000Z,"Sudah berapa menu kopi yang pernah #keluaragamoju rasakan, sudah berapa biji kopi yang pernah #keluargamoju seduh?? Tentunya semua memiliki karakter tersendiri. •Silahkan coba varian kopi by @mojumojuid dan rasakan pengalamannya 😊😊.•Buka setiap hari⌚️ 10:00 - 24:00 WIB•Nikmati juga diskon 20% untuk semua varian menu tanpa limit order.•Let Your Story Completes Us#mojumojuid",699 views,#keluaragamoju #keluargamoju #mojumojuid,https://www.instagram.com/explore/locations/106812507575867/moju-moju-artisan-drink/,https://instagram.fcgk4-1.fna.fbcdn.net/v/t50.2886-16/104121570_2822778561298824_8156159581529461557_n.mp4?_nc_ht=instagram.fcgk4-1.fna.fbcdn.net&_nc_cat=100&_nc_ohc=vmuvdLEkQZwAX_QhGV2&oe=5F1527E9&oh=849ac501aa41e2339a5fd590d2494b47
